group,subject,subject_name,day,time_from,time_until
2172,CS417,Application Devlopment,thu,13:00:00,13:50:00
2172,CS417,Application Devlopment,tue,14:00:00,14:50:00
2172,CS417,Application Devlopment,wed,14:00:00,15:50:00
2186,CS417,Application Devlopment,sun,14:00:00,14:50:00
2186,CS417,Application Devlopment,mon,15:00:00,15:50:00
2186,CS417,Application Devlopment,wed,08:00:00,09:50:00
2196,CS417,Application Devlopment,sun,12:00:00,12:50:00
2196,CS417,Application Devlopment,wed,15:00:00,15:50:00
2196,CS417,Application Devlopment,thu,08:00:00,09:50:00
2204,CS417,Application Devlopment,wed,15:00:00,15:50:00
2204,CS417,Application Devlopment,mon,15:00:00,15:50:00
2204,CS417,Application Devlopment,sun,14:00:00,15:50:00
2212,CS417,Application Devlopment,mon,11:00:00,11:50:00
2212,CS417,Application Devlopment,tue,08:00:00,09:50:00
2212,CS417,Application Devlopment,tue,10:00:00,11:50:00
2223,CS417,Application Devlopment,tue,10:00:00,10:50:00
2223,CS417,Application Devlopment,thu,10:00:00,10:50:00
2223,CS417,Application Devlopment,sun,14:00:00,15:50:00
2231,CS417,Application Devlopment,sun,08:00:00,08:50:00
2231,CS417,Application Devlopment,tue,11:00:00,11:50:00
2231,CS417,Application Devlopment,wed,14:00:00,15:50:00
2169,CS4343,Distributed copmuting,mon,17:00:00,17:50:00
2169,CS4343,Distributed copmuting,wed,17:00:00,17:50:00
2169,CS4343,Distributed copmuting,tue,17:00:00,18:50:00
2177,CS4343,Distributed copmuting,sun,17:00:00,17:50:00
2177,CS4343,Distributed copmuting,wed,17:00:00,17:50:00
2177,CS4343,Distributed copmuting,tue,17:00:00,18:50:00
2183,CS4343,Distributed copmuting,mon,18:00:00,18:50:00
2183,CS4343,Distributed copmuting,wed,18:00:00,18:50:00
2183,CS4343,Distributed copmuting,sun,18:00:00,19:50:00
2189,CS4343,Distributed copmuting,sun,17:00:00,17:50:00
2189,CS4343,Distributed copmuting,wed,17:00:00,17:50:00
2189,CS4343,Distributed copmuting,tue,18:00:00,19:50:00
2191,CS4343,Distributed copmuting,sun,18:00:00,18:50:00
2191,CS4343,Distributed copmuting,tue,18:00:00,18:50:00
2191,CS4343,Distributed copmuting,wed,18:00:00,19:50:00
2198,CS4343,Distributed copmuting,mon,18:00:00,18:50:00
2198,CS4343,Distributed copmuting,tue,18:00:00,18:50:00
2198,CS4343,Distributed copmuting,thu,18:00:00,19:50:00
2202,CS4343,Distributed copmuting,sun,16:00:00,16:50:00
2202,CS4343,Distributed copmuting,tue,16:00:00,16:50:00
2202,CS4343,Distributed copmuting,wed,16:00:00,17:50:00
2221,CS4413,Artificial Intelligence,thu,14:00:00,14:50:00
2221,CS4413,Artificial Intelligence,sun,13:00:00,13:50:00
2221,CS4413,Artificial Intelligence,thu,08:00:00,09:50:00
2228,CS4413,Artificial Intelligence,sun,15:00:00,15:50:00
2228,CS4413,Artificial Intelligence,tue,15:00:00,15:50:00
2228,CS4413,Artificial Intelligence,thu,08:00:00,09:50:00
2237,CS4413,Artificial Intelligence,wed,14:00:00,14:50:00
2237,CS4413,Artificial Intelligence,tue,12:00:00,12:50:00
2237,CS4413,Artificial Intelligence,thu,12:00:00,13:50:00
2249,CS4413,Artificial Intelligence,tue,15:00:00,15:50:00
2249,CS4413,Artificial Intelligence,thu,14:00:00,14:50:00
2249,CS4413,Artificial Intelligence,mon,12:00:00,13:50:00
2313,CS4413,Artificial Intelligence,mon,13:00:00,13:50:00
2313,CS4413,Artificial Intelligence,wed,13:00:00,13:50:00
2313,CS4413,Artificial Intelligence,thu,10:00:00,11:50:00
2315,CS4413,Artificial Intelligence,mon,08:00:00,08:50:00
2315,CS4413,Artificial Intelligence,thu,08:00:00,08:50:00
2315,CS4413,Artificial Intelligence,thu,14:00:00,15:50:00
2318,CS4413,Artificial Intelligence,wed,08:00:00,08:50:00
2318,CS4413,Artificial Intelligence,thu,08:00:00,08:50:00
2318,CS4413,Artificial Intelligence,tue,14:00:00,15:50:00
2322,CS4413,Artificial Intelligence,mon,09:00:00,09:50:00
2322,CS4413,Artificial Intelligence,thu,09:00:00,09:50:00
2322,CS4413,Artificial Intelligence,thu,14:00:00,15:50:00
2344,CS452,Cloud Computing,mon,14:00:00,14:50:00
2344,CS452,Cloud Computing,sun,14:00:00,14:50:00
2344,CS452,Cloud Computing,sun,08:00:00,09:50:00
2350,CS452,Cloud Computing,tue,14:00:00,14:50:00
2350,CS452,Cloud Computing,thu,14:00:00,14:50:00
2350,CS452,Cloud Computing,sun,08:00:00,09:50:00
2358,CS452,Cloud Computing,thu,14:00:00,14:50:00
2358,CS452,Cloud Computing,tue,14:00:00,14:50:00
2358,CS452,Cloud Computing,mon,14:00:00,15:50:00
2363,CS452,Cloud Computing,thu,15:00:00,15:50:00
2363,CS452,Cloud Computing,sun,12:00:00,12:50:00
2363,CS452,Cloud Computing,wed,12:00:00,13:50:00
2372,CS452,Cloud Computing,sun,10:00:00,10:50:00
2372,CS452,Cloud Computing,thu,14:00:00,14:50:00
2372,CS452,Cloud Computing,mon,14:00:00,15:50:00
2375,CS452,Cloud Computing,mon,09:00:00,09:50:00
2375,CS452,Cloud Computing,thu,09:00:00,09:50:00
2375,CS452,Cloud Computing,tue,14:00:00,15:50:00
2378,CS452,Cloud Computing,sun,11:00:00,11:50:00
2378,CS452,Cloud Computing,wed,11:00:00,11:50:00
2378,CS452,Cloud Computing,tue,14:00:00,15:50:00
420,CS452,Cloud Computing,mon,08:00:00,08:50:00
420,CS452,Cloud Computing,thu,08:00:00,08:50:00
420,CS452,Cloud Computing,tue,12:00:00,13:50:00
2175,CS4533,Data Science,mon,12:00:00,12:50:00
2175,CS4533,Data Science,thu,10:00:00,10:50:00
2175,CS4533,Data Science,tue,08:00:00,09:50:00
2247,CS4533,Data Science,wed,15:00:00,15:50:00
2247,CS4533,Data Science,thu,15:00:00,15:50:00
2247,CS4533,Data Science,thu,12:00:00,13:50:00
2262,CS4533,Data Science,tue,15:00:00,15:50:00
2262,CS4533,Data Science,thu,15:00:00,15:50:00
2262,CS4533,Data Science,sun,14:00:00,15:50:00
2274,CS4533,Data Science,sun,08:00:00,08:50:00
2274,CS4533,Data Science,thu,08:00:00,08:50:00
2274,CS4533,Data Science,tue,08:00:00,09:50:00
2288,CS4533,Data Science,thu,14:00:00,14:50:00
2288,CS4533,Data Science,tue,15:00:00,15:50:00
2288,CS4533,Data Science,sun,14:00:00,15:50:00
2298,CS4533,Data Science,sun,09:00:00,09:50:00
2298,CS4533,Data Science,wed,09:00:00,09:50:00
2298,CS4533,Data Science,wed,14:00:00,15:50:00
2304,CS4533,Data Science,mon,10:00:00,10:50:00
2304,CS4533,Data Science,thu,10:00:00,10:50:00
2304,CS4533,Data Science,sun,14:00:00,15:50:00